test_accuracy,training_time,memory_usage,final_loss
96.55,1.5066349506378174,-52214784,1.306766444031382e-05
93.55,1.4801833629608154,13099520,0.0051608579233288765
94.75,1.552781581878662,-13102080,0.0008639198495075107
95.4,1.5051031112670898,-13102080,0.0005609319778159261
95.9,1.4591093063354492,-13102080,0.0001880209892988205
96.05,1.4903974533081055,-12895744,0.00017575258971191943
95.15,1.4592223167419434,-13102080,7.847865344956517e-05
95.65,1.4712169170379639,-12895744,0.018984254449605942
95.1,1.4229803085327148,-13102080,0.00015050846559461206
95.1,1.4745709896087646,-13102080,0.0008217179565690458
95.8,1.4529352188110352,-13102080,0.0019929499831050634
95.15,1.4369864463806152,-13306368,1.2255387446202803e-05
93.9,1.444361686706543,-12948480,0.0015060240402817726
93.0,1.458388328552246,-13102080,0.0004068085108883679
96.0,1.4570109844207764,-13100544,1.6234478607657366e-05
94.75,1.4425997734069824,-13102080,0.0001179977334686555
95.85,1.4394760131835938,-12895744,5.646217687171884e-05
